-1.0827982276, 51.7623134556
-1.08166476199, 51.7667598098
-1.07927269505, 51.7694447938
-1.07994854448, 51.7701325248
-1.08013207729, 51.7717982533
-1.0811101455, 51.775877166
-1.08246307777, 51.7797782675
-1.08464961516, 51.7809659743
-1.09488286103, 51.7820953632
-1.09714277771, 51.7815166123
-1.0972901406, 51.7809602835
-1.09741419605, 51.7805548293
-1.10591766337, 51.7819352112
-1.11300820413, 51.7853129794
-1.11884074944, 51.7870094197
-1.12215026911, 51.7876986238
-1.12019819958, 51.7926508114
-1.122486082, 51.7954237238
-1.11858154289, 51.7983022998
-1.11928868999, 51.7998181272
-1.12046182526, 51.802505398
-1.12165831709, 51.804968049
-1.12382852252, 51.8066646968
-1.12396384353, 51.8082139956
-1.12039822532, 51.8102463798
-1.11792904287, 51.8110838558
-1.11751287728, 51.8133051654
-1.11606581762, 51.8151995424
-1.11036382269, 51.8171562083
-1.1146117216, 51.8184092648
-1.1176723639, 51.8204417982
-1.12093043651, 51.8225575461
-1.12324479953, 51.8253162373
-1.12469289868, 51.8265147588
-1.12673130689, 51.8287075766
-1.12996337478, 51.8295892829
-1.13050617712, 51.8310930275
-1.13492271066, 51.8322764569
-1.13928398451, 51.8338585241
-1.13960001035, 51.8352481756
-1.13615028046, 51.8366857641
-1.13342873574, 51.8380584858
-1.12913837894, 51.8391102469
-1.12852231926, 51.8395948061
-1.12720018966, 51.8410883322
-1.12445575828, 51.8424157211
-1.12262128349, 51.8442677268
-1.11941665745, 51.844686154
-1.1156853914, 51.8430109857
-1.10941949595, 51.8413632948
-1.10492757327, 51.8408230055
-1.10176551334, 51.8396165659
-1.09832904497, 51.8378414921
-1.09624055823, 51.8366763921
-1.09059899113, 51.8343015006
-1.08664905234, 51.8318369803
-1.08140938656, 51.8297335999
-1.07746505965, 51.8292405876
-1.07389628368, 51.8300397423
-1.07201099791, 51.8321692951
-1.0678828387, 51.8346712888
-1.06333030846, 51.8327703513
-1.05955327723, 51.835041976
-1.05622767365, 51.8365294697
-1.05386303547, 51.8374464652
-1.05232620528, 51.8379897547
-1.05067710911, 51.8384862631
-1.04865773783, 51.8392638781
-1.04741875241, 51.8401313978
-1.05023664193, 51.8398295949
-1.05274778311, 51.8403101896
-1.05681557894, 51.8422220347
-1.06182339092, 51.8439713023
-1.06205530077, 51.8455250351
-1.06274702838, 51.8496143554
-1.06576088971, 51.8533346068
-1.06335619323, 51.8549590821
-1.06314073636, 51.856315038
-1.06358598554, 51.8581590799
-1.06481350308, 51.8608661992
-1.06514300657, 51.862484534
-1.06558421298, 51.8660026922
-1.06478028396, 51.8687026517
-1.0677187785, 51.8727648015
-1.071957703, 51.8749328062
-1.07533628444, 51.8755087585
-1.07631374009, 51.8762258364
-1.07725464178, 51.8768140458
-1.07663031597, 51.8787134766
-1.0749976716, 51.8795521194
-1.07316302436, 51.8807442997
-1.07157129643, 51.8813530437
-1.07102964052, 51.8817641612
-1.07036915873, 51.8823712441
-1.06971164965, 51.8831150123
-1.07014425791, 51.8846109621
-1.07096071203, 51.884685742
-1.07106020081, 51.885357267
-1.06902575926, 51.8862870624
-1.06899559126, 51.8872551705
-1.07011029759, 51.8883698931
-1.07270133841, 51.8883570665
-1.07532809429, 51.8883031042
-1.07635611343, 51.8877717069
-1.07727741721, 51.8880513644
-1.07770421551, 51.8897036845
-1.08122832196, 51.8904694167
-1.08286876335, 51.8907609346
-1.08598739739, 51.8911790034
-1.08909449689, 51.8921705341
-1.09029998707, 51.8925619794
-1.09340219554, 51.8938060083
-1.09294846594, 51.8948328957
-1.09278606905, 51.8958251632
-1.09178082136, 51.8972461008
-1.08947522037, 51.897564558
-1.0875854514, 51.8975139614
-1.08603843462, 51.8981915796
-1.08449952914, 51.8993259896
-1.08582778234, 51.9007658998
-1.08578021013, 51.9026087093
-1.08510529352, 51.9047082858
-1.08572653911, 51.9069716791
-1.08395286524, 51.9096273513
-1.08237722936, 51.9121856378
-1.08163037106, 51.9158014297
-1.07988037375, 51.916202256
-1.08220741323, 51.9177354185
-1.08466841654, 51.9192668785
-1.08582757727, 51.9202550139
-1.08664394729, 51.921728695
-1.08613495701, 51.923020361
-1.08275815862, 51.9241737341
-1.08254390719, 51.9259810709
-1.08213789448, 51.9277059924
-1.0780852274, 51.9274684359
-1.07625984956, 51.9293215777
-1.07628026868, 51.9310192537
-1.07644544197, 51.9321129653
-1.07202652434, 51.9336076064
-1.06789651831, 51.9343419261
-1.06526730285, 51.9345944136
-1.06296897879, 51.9349510753
-1.06152552794, 51.9361623672
-1.06063134262, 51.937676528
-1.05966244234, 51.938795377
-1.05878352624, 51.9399913614
-1.05591113776, 51.9428706874
-1.05585103755, 51.9457338617
-1.05518792863, 51.9464109657
-1.05494991138, 51.9471445252
-1.05496882597, 51.9486677636
-1.05600875348, 51.9490330491
-1.05898498873, 51.9492753506
-1.06368774734, 51.9482195203
-1.06512391577, 51.9480744853
-1.06699336007, 51.9467514409
-1.06962658598, 51.9459873536
-1.07147941532, 51.9457403368
-1.07433926151, 51.9440671366
-1.07753160053, 51.9431247479
-1.08032766716, 51.9446229482
-1.07883338186, 51.9466900013
-1.07982110051, 51.9482630651
-1.08106837731, 51.9502391461
-1.0839894407, 51.9519144557
-1.08779830305, 51.9531623042
-1.08936432644, 51.9557341708
-1.09270660038, 51.9566896378
-1.09523876616, 51.9572665604
-1.09405774827, 51.9593281156
-1.09233646649, 51.9615437385
-1.08963694954, 51.964189642
-1.08848677667, 51.9654979313
-1.08598829956, 51.9682558958
-1.08452896275, 51.9691526555
